g E0 Ep1 Epair duration
-2 128.787 55.276 73.5113 865635
-1.99 128.325 55.2249 73.1004 865640
-1.98 127.863 55.1733 72.6893 841275
-1.97 127.399 55.1212 72.2781 838272
-1.96 126.935 55.0686 71.8666 836993
-1.95 126.47 55.0155 71.4549 852076
-1.94 126.005 54.9619 71.0431 836504
-1.93 125.539 54.9078 70.631 835299
-1.92 125.072 54.8532 70.2187 839929
-1.91 124.604 54.7981 69.8063 860886
-1.9 124.136 54.7424 69.3936 861230
-1.89 123.667 54.6862 68.9807 804438
-1.88 123.197 54.6295 68.5676 567957
-1.87 122.727 54.5722 68.1543 451197
-1.86 122.255 54.5143 67.7408 433679
-1.85 121.783 54.4559 67.3271 434638
-1.84 121.31 54.3969 66.9131 435577
-1.83 120.836 54.3373 66.4989 437299
-1.82 120.362 54.2771 66.0845 436993
-1.81 119.886 54.2163 65.6698 439905
-1.8 119.41 54.155 65.2549 439840
-1.79 118.933 54.0929 64.8398 443152
-1.78 118.455 54.0303 64.4245 440637
-1.77 117.976 53.967 64.0088 440984
-1.76 117.496 53.9031 63.593 442344
-1.75 117.015 53.8385 63.1769 445883
-1.74 116.534 53.7733 62.7605 441947
-1.73 116.051 53.7074 62.3439 443807
-1.72 115.568 53.6407 61.927 445121
-1.71 115.083 53.5734 61.5099 458200
-1.7 114.598 53.5054 61.0925 446640
-1.69 114.112 53.4367 60.6748 444109
-1.68 113.624 53.3673 60.2568 445351
-1.67 113.136 53.2971 59.8386 444614
-1.66 112.646 53.2261 59.4201 447399
-1.65 112.156 53.1544 59.0013 450224
-1.64 111.664 53.0819 58.5822 440837
-1.63 111.171 53.0087 58.1628 440819
-1.62 110.678 52.9346 57.7431 440769
-1.61 110.183 52.8598 57.3231 441580
-1.6 109.687 52.7841 56.9028 441822
-1.59 109.19 52.7075 56.4822 444895
-1.58 108.692 52.6302 56.0613 441537
-1.57 108.192 52.5519 55.6401 437003
-1.56 107.691 52.4728 55.2185 438765
-1.55 107.19 52.3929 54.7967 441980
-1.54 106.686 52.312 54.3745 443120
-1.53 106.182 52.2301 53.9519 442548
-1.52 105.676 52.1474 53.529 443720
-1.51 105.17 52.0637 53.1058 440909
-1.5 104.661 51.9791 52.6822 455774
-1.49 104.152 51.8934 52.2583 441268
-1.48 103.641 51.8069 51.834 445255
-1.47 103.129 51.7192 51.4093 441701
-1.46 102.615 51.6306 50.9843 442549
-1.45 102.1 51.5409 50.5589 441133
-1.44 101.583 51.4502 50.1331 441950
-1.43 101.065 51.3583 49.707 446068
-1.42 100.546 51.2654 49.2804 444128
-1.41 100.025 51.1714 48.8535 441243
-1.4 99.5025 51.0763 48.4262 441312
-1.39 98.9784 50.98 47.9984 441036
-1.38 98.4528 50.8825 47.5703 441040
-1.37 97.9256 50.7839 47.1417 443322
-1.36 97.3968 50.684 46.7128 451491
