g E0 Ep1 Epair duration
-2 36.7806 32.146 4.63456 17426370
-1.9 36.546 32.0357 4.51031 17118866
-1.8 36.3057 31.9244 4.38124 17168266
-1.7 36.0591 31.8122 4.24695 17156914
-1.6 35.8059 31.6989 4.10703 17092625
-1.5 35.5456 31.5846 3.96097 17223704
-1.4 35.2776 31.4693 3.80822 17173240
-1.3 35.0013 31.3532 3.64811 17245434
-1.2 34.7161 31.2362 3.47987 17247152
-1.1 34.421 31.1185 3.30258 17261255
-1 34.1153 31.0001 3.11513 17276558
-0.9 33.7976 30.8814 2.91619 17218455
-0.8 33.4667 30.7626 2.70409 17149796
-0.7 33.121 30.6442 2.47673 17198025
-0.6 32.7583 30.5269 2.23138 17173158
-0.5 32.3762 30.4118 1.96441 17151504
-0.4 31.9713 30.3005 1.67078 17041845
-0.3 31.5391 30.1959 1.34319 16908224
-0.2 31.0734 30.103 0.970382 16743569
-0.1 30.565 30.0313 0.533775 16535828
0 30 30 0 6124531
0.1 29.3553 30.0511 -0.695783 16442732
0.2 28.5917 30.2761 -1.68446 16698173
0.3 27.6439 30.8513 -3.20738 16963833
0.4 26.4207 31.9891 -5.56836 17138329
0.5 24.8392 33.7166 -8.87744 17249894
0.6 22.8718 35.7947 -12.9229 17291840
0.7 20.5473 37.9492 -17.4019 17380954
0.8 17.9187 40.0136 -22.0949 17427834
0.9 15.0408 41.9151 -26.8742 17504977
1 11.961 43.6327 -31.6717 17465966
1.1 8.71795 45.1707 -36.4528 17509017
1.2 5.34229 46.5435 -41.2013 17476322
1.3 1.85819 47.7691 -45.9109 17461974
1.4 -1.71531 48.8652 -50.5805 17510705
1.5 -5.36313 49.8483 -55.2114 17498900
1.6 -9.07326 50.733 -59.8063 17489107
1.7 -12.836 51.5321 -64.3681 17498764
1.8 -16.6436 52.2563 -68.8999 17599693
1.9 -20.4897 52.9151 -73.4047 17571237
2 -24.3689 53.5164 -77.8852 17515468
